objectid,filename,youtubeid,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,,identifier,rights,rightsstatement,type,language,relation
ncflowers01,tageteserecta.jpeg,,Tagetes erecta- Aztec Marigold,image/jpeg,"Photo taken by Kasi Guess on her iphone 16Pro of a flowering Aztec Marigold at Reynolda Gardens in Winston Salem, NC in late summer/early fall","Guess, Kasi",,2025-09-07,,digital photograph,Tagetes; Marigolds; Angiosperms,"Winston Salem, NC",,,,,,,Iphone Photo Storage,,,,Image;DigitalImage,eng,
ncflowers02,rosachinensis.jpg,,Rosa chinensis- Chinese Rose,image/jpg,"Photo of a Chinese Rose at Reynolda Gardens, taken by Kasi Guess on her Iphone16pro in late summer/early fall. ","Guess, Kasi",,2025-09-07,,digital photograph,Rosa; Angiosperms,"Winston Salem, NC",,,,,,,Iphone Photo Storage,,,,Image;DigitalImage,eng,
ncflowers03,rhododendron.jpg,,Rhododendron,image/jpg,"Photo taken in the spring of a Rhododendron at Jetton Park in Huntersville, NC. Photo taken on personal iPhone 16Pro.","Guess, Kasi",,2026-04-02,,digital photograph,Rhododendron; Angiosperms,"Huntersville, NC",,,,,,,Iphone Photo Storage,,,,Image;DigitalImage,eng,
ncflowers04,prunusserrulata.jpg,,Prunus serrulata- Japanese Flowering Cherry,image/jpg,"Photo of the blooms on a Japenese Cherry Tree during the spring in Huntersville, NC. Photo taken by personal iPhone 16Pro","Guess, Kasi",,2025-03-27,,digital photograph,Japanese Flowering Cherry; Ornamental Trees,"Huntersville, NC",,,,,,,Iphone Photo Storage,,,,Image;DigitalImage,eng,
ncflowers05,pyruscalleryana.jpeg,,Pyrus calleryana- Bradford Pear,image/jpeg,"Photo of the blooms on a small Bradford Pear tree. The photo was taken in early spring in Durham, NC on an iphone16Pro.","Guess, Kasi",,2026-03-08,,digital photograph,Callery Pear; Ornamental Trees,"Durham, NC",,,,,,,Iphone Photo Storage,,,,Image;DigitalImage,eng,
ncflowers06,phalaenopsis.jpeg,,Phalaenopsis- Moth Orchid,image/jpeg,Photo taken in the spring of a Moth Orchid in the greenhouse at Reynolda Village. iPhone 16Pro used to capture the photo,"Guess, Kasi",,2026-03-29,,digital photograph,Orchids; Phalaenopsis; Angiosperms,"Winston Salem, NC",,,,,,,Iphone Photo Storage,,,,Image;DigitalImage,eng,
ncflowers07,hydrangeamacrophylla.jpeg,,Hydrangea macrophylla- Bigleaf Hydrangea,image/jpeg,Photo of Bigleaf Hydrangea blooms in the spring taken with an iphone 16Pro. Located at Reynolda Village. ,"Guess, Kasi",,2026-03-29,,digital photograph,Hydrangea macrophylla; Angiosperms,"Winston Salem, NC",,,,,,,Iphone Photo Storage,,,,Image;DigitalImage,eng,
ncflowers08,commonzinnia.jpeg,,Zinnia elegans- Common Zinnia,image/jpeg,"Photo taken in later summer/early fall of a Common Zinnia. Photo taken with an iphone16Pro in Winston Salem, NC. ","Guess, Kasi",,2025-09-07,,digital photograph,Zinnia; Angiosperms,"Winston Salem, NC",,,,,,,Iphone Photo Storage,,,,Image;DigitalImage,eng,
ncflowers09,celosiaargentea.jpg,,Celosia argentea- Silver Cock's Comb,image/jpg,"Photo of a Silver Cock's Comb taken in Winston Salem, NC during the late summer/early fall with an iPhone16Pro.","Guess, Kasi",,2025-09-07,,digital photograph,Celosia; Angiosperms,"Winston Salem, NC",,,,,,,Iphone Photo Storage,,,,Image;DigitalImage,eng,
ncflowers10,cattleyalabiata.jpeg,,Cattleya labiata- Crimson Cattleya,image/jpeg,"Photo taken of a Crimson Cattleya during the spring. Photo was taken with an iphone16Pro in Winston Salem, NC","Guess, Kasi",,2026-03-29,,digital photograph,Cattleya; Angiosperms,"Winston Salem, NC",,,,,,,Iphone Photo Storage,,,,Image;DigitalImage,eng,
